atlas07.cs.wisc.edu	ATLAS	srm://atlas07.cs.wisc.edu:8443/srm/v2/server?SFN=/atlas/xrootd/TESTFILE
atlas.bu.edu	ATLAS	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	CDF	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	GLOW	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	GridUNESP	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	MIS	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	Ops	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
atlas.bu.edu	OSG	srm://atlas.bu.edu:8443/srm/v2/server?SFN=/gpfs1/TESTFILE
bonner-grid.rice.edu	ATLAS	srm://bonner-grid.rice.edu:8443/srm/v2/server?SFN=/data/cms/se/store/user/atlas/TESTFILE
bonner-grid.rice.edu	CMS	srm://bonner-grid.rice.edu:8443/srm/v2/server?SFN=/data/cms/se/store/user/cms/TESTFILE
bonner-grid.rice.edu	STAR	srm://bonner-grid.rice.edu:8443/srm/v2/server?SFN=/data/cms/se/store/user/star/TESTFILE
bsrm-1.t2.ucsd.edu	Accelerator	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/accelerator/TESTFILE
bsrm-1.t2.ucsd.edu	ATLAS	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/atlas/TESTFILE
bsrm-1.t2.ucsd.edu	CDF	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/cdf/TESTFILE
bsrm-1.t2.ucsd.edu	Cdms	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/cdms/TESTFILE
bsrm-1.t2.ucsd.edu	CIGI	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/cigi/TESTFILE
bsrm-1.t2.ucsd.edu	CMS	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/cms/TESTFILE
bsrm-1.t2.ucsd.edu	CompBioGrid	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/compbiogrid/TESTFILE
bsrm-1.t2.ucsd.edu	DES	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/des/TESTFILE
bsrm-1.t2.ucsd.edu	DOSAR	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/dosar/TESTFILE
bsrm-1.t2.ucsd.edu	DZero	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/dzero/TESTFILE
bsrm-1.t2.ucsd.edu	Engage	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/engage/TESTFILE
bsrm-1.t2.ucsd.edu	Fermilab	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/fermilab/TESTFILE
bsrm-1.t2.ucsd.edu	geant4	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/geant4/TESTFILE
bsrm-1.t2.ucsd.edu	GLOW	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/glow/TESTFILE
bsrm-1.t2.ucsd.edu	Gluex	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/gluex/TESTFILE
bsrm-1.t2.ucsd.edu	GPN	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/gpn/TESTFILE
bsrm-1.t2.ucsd.edu	GROW	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/grow/TESTFILE
bsrm-1.t2.ucsd.edu	HCC	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/hcc/TESTFILE
bsrm-1.t2.ucsd.edu	i2u2	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/i2u2/TESTFILE
bsrm-1.t2.ucsd.edu	IceCube	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/icecube/TESTFILE
bsrm-1.t2.ucsd.edu	ILC	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/ilc/TESTFILE
bsrm-1.t2.ucsd.edu	LIGO	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/ligo/TESTFILE
bsrm-1.t2.ucsd.edu	Minerva	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/minerva/TESTFILE
bsrm-1.t2.ucsd.edu	Miniboone	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/miniboone/TESTFILE
bsrm-1.t2.ucsd.edu	Minos	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/minos/TESTFILE
bsrm-1.t2.ucsd.edu	Mipp	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/mipp/TESTFILE
bsrm-1.t2.ucsd.edu	MIS	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/mis/TESTFILE
bsrm-1.t2.ucsd.edu	Mu2e	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/mu2e/TESTFILE
bsrm-1.t2.ucsd.edu	nanoHUB	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nanohub/TESTFILE
bsrm-1.t2.ucsd.edu	NEBioGrid	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nebiogrid/TESTFILE
bsrm-1.t2.ucsd.edu	NEES	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nees/TESTFILE
bsrm-1.t2.ucsd.edu	Nova	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nova/TESTFILE
bsrm-1.t2.ucsd.edu	Numi	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/numi/TESTFILE
bsrm-1.t2.ucsd.edu	NWICG	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nwicg/TESTFILE
bsrm-1.t2.ucsd.edu	NYSGRID	srm://bsrm-1.t2.ucsd.edu:8443/srm/v2/server?SFN=/hadoop/nysgrid/TESTFILE
